suburb,density,property,price,rooms,bedroom,toilets,ensuite,type,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
76,1,0,275,5,3,2,0,1,19,2,0,0,0,0,1,0,1,0,0,0
86,1,0,255,5,2,2,0,1,21,2,0,0,0,0,1,0,1,0,0,0
81,1,0,250,5,2,2,0,1,20,2,0,0,0,0,1,0,1,0,0,0
40,0,1,120,4,0,1,0,1,18,2,0,0,0,0,0,0,0,1,0,0
130,1,0,240,4,2,1,0,1,26,2,0,0,0,0,1,0,1,0,0,0
57,1,0,220,4,2,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0
80,1,0,200,4,2,1,0,1,20,2,0,0,0,0,1,0,1,0,0,0
156,1,0,195,3,1,1,0,1,11,2,0,0,0,0,1,0,1,0,0,0
71,1,0,180,3,1,1,0,1,26,2,0,0,0,0,1,0,1,0,0,0
22,1,0,165,3,1,1,0,1,1,2,0,0,0,0,1,0,1,0,0,0
75,1,0,150,3,1,1,0,1,19,2,0,0,0,0,1,0,1,0,0,0
100,1,0,130,2,0,1,0,1,24,2,0,0,0,0,1,0,1,1,0,0
14,1,0,120,2,0,1,0,1,12,2,0,0,0,0,1,0,1,0,0,0
108,1,0,120,2,0,1,0,1,20,2,0,0,0,0,1,0,1,0,0,0
21,1,0,110,2,0,1,0,1,1,2,0,0,0,0,1,0,1,0,0,0
65,1,0,110,2,0,1,0,1,20,2,0,0,0,0,1,0,1,0,0,0
35,1,0,110,2,0,1,0,1,20,2,0,0,0,0,1,0,1,0,0,0
77,1,0,90,2,0,1,0,1,20,2,0,0,0,0,1,0,1,0,0,0
31,1,0,25,1,0,1,0,1,27,2,0,0,0,0,0,0,0,0,0,0
41,1,0,85,2,0,1,0,1,15,2,0,0,0,0,1,0,1,0,0,0
123,1,0,80,1,0,1,0,1,13,2,0,0,0,0,1,0,0,1,0,0
24,1,0,75,1,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0
122,1,0,65,1,0,1,0,1,24,2,0,0,0,0,1,0,1,0,0,0
54,1,0,55,1,0,1,0,1,10,2,0,0,0,0,1,0,1,0,0,0
74,1,0,50,1,0,1,0,1,19,2,0,0,0,0,1,0,1,0,0,0
109,3,3,700,6,4,2,1,0,16,2,2,0,1,2,1,1,1,1,0,1
70,1,0,40,1,0,1,0,1,13,2,0,0,0,0,1,0,0,1,0,0
9,2,0,200,2,0,1,0,1,23,2,0,0,0,0,1,0,1,0,0,0
9,2,0,200,2,0,1,0,1,23,2,0,0,0,0,1,0,1,0,0,0
45,2,0,350,3,0,1,0,1,26,2,1,0,0,0,1,0,1,0,0,0
68,2,1,300,2,0,1,1,0,26,2,1,0,1,0,1,1,1,1,0,0
99,2,0,240,2,0,1,0,1,26,2,0,0,0,0,1,0,1,0,0,0
61,2,3,2500,8,4,2,2,0,23,2,2,0,1,0,1,1,1,1,0,1
32,2,3,2500,8,4,2,1,0,23,2,2,1,1,3,1,1,1,1,0,1
5,2,3,700,5,3,2,1,0,18,2,1,0,1,0,1,0,1,0,1,1
154,3,1,350,3,0,1,0,0,27,2,1,0,0,0,1,1,1,1,0,0
87,2,3,1000,5,2,1,0,0,14,2,2,0,1,0,1,1,1,1,1,0
60,2,3,2500,7,5,4,3,0,23,2,0,0,1,2,1,1,1,1,0,1
72,1,3,420,6,3,2,1,0,27,2,1,0,0,0,1,0,1,1,0,0
46,2,2,2000,9,4,3,2,0,14,2,2,1,1,0,1,1,1,1,0,1
6,2,3,1500,6,3,4,3,0,14,2,0,0,1,0,1,1,1,1,0,1
58,2,3,800,4,4,2,1,0,26,2,0,0,1,0,1,0,1,0,0,1
58,2,2,1300,6,3,2,1,0,26,2,0,0,1,1,1,1,1,1,0,0
58,2,3,850,6,3,2,1,0,26,2,2,0,1,2,1,1,1,1,0,1
58,2,3,1000,7,3,2,1,0,26,2,1,0,1,0,1,1,1,1,0,0
58,2,1,700,4,2,2,1,0,26,2,0,0,1,0,1,1,1,1,0,1
58,2,3,800,6,3,2,1,0,26,2,0,0,1,0,1,0,1,0,0,1
58,2,2,1500,6,3,2,1,0,26,2,1,1,1,2,1,0,1,0,0,1
58,2,3,1350,6,3,2,1,0,26,2,0,0,1,2,1,1,1,1,0,1
58,2,1,150,2,1,1,0,0,26,2,0,0,1,0,1,0,1,1,0,1
58,2,3,1700,6,3,2,1,0,26,2,1,1,1,1,1,1,1,1,0,1
103,2,2,3500,7,4,2,1,0,23,2,2,1,1,2,1,1,1,1,0,1
103,2,3,1800,6,3,2,1,0,23,2,1,1,1,1,1,1,1,0,0,1
36,2,3,800,5,3,1,0,0,12,2,2,0,1,0,1,1,1,1,0,1
59,2,3,2200,8,4,2,1,0,12,2,2,1,1,3,1,1,1,1,0,1
59,2,2,3000,15,7,8,7,0,12,2,2,0,1,0,1,1,1,1,0,1
59,2,2,2500,10,4,2,1,0,12,2,2,1,1,0,1,1,1,1,0,1
59,2,2,3500,10,7,4,3,0,12,2,2,1,1,0,1,1,1,1,0,1
59,2,0,800,6,3,1,0,0,12,2,0,0,1,0,1,0,1,0,0,1
59,2,2,1800,8,5,3,1,0,12,2,0,0,1,0,1,0,0,1,0,1
148,2,2,2500,8,3,2,1,0,12,2,2,1,1,4,1,0,1,1,0,0
148,2,3,2500,10,3,2,1,0,12,2,1,0,1,4,1,0,1,0,0,1
148,2,0,2000,5,3,1,0,0,12,2,2,0,1,0,1,0,1,1,1,1
148,2,3,2250,9,4,2,1,0,12,2,2,0,1,3,1,0,1,1,0,1
52,2,1,850,5,3,2,1,0,12,2,3,0,0,0,1,0,1,1,1,0
52,2,1,650,3,1,1,0,0,12,2,0,0,0,0,1,0,1,1,0,1
46,2,3,1300,6,3,2,1,0,14,2,0,1,0,2,1,0,1,1,0,1
111,2,3,3000,9,5,4,3,0,12,2,3,0,1,2,1,1,1,0,0,1
63,3,1,550,5,3,2,1,0,16,2,1,0,1,0,1,1,1,1,0,1
125,1,0,300,4,2,2,1,1,4,2,0,0,0,0,1,0,1,1,0,0
131,3,0,150,1,0,0,0,1,14,2,0,0,0,0,1,0,1,1,0,0
71,1,0,550,6,1,1,0,1,26,2,1,0,1,0,1,1,1,1,0,0
68,2,3,1300,2,0,1,1,0,26,2,3,1,1,3,1,1,1,1,0,1
97,2,3,800,6,2,2,1,0,11,2,0,0,1,0,1,0,1,1,0,1
69,2,3,1600,5,2,2,1,0,12,2,2,0,1,2,1,0,1,1,0,1
69,2,3,1500,5,3,2,1,0,12,2,2,1,1,2,1,0,1,0,0,1
