Address,Longitude,Latitude
2528 ST MARYS,31.03369254,-17.99442599
2572 CHIEDZA,31.03364513,-17.9955309
2514 ST MARYS,31.0343719,-17.99484564
2583 ST MARYS,31.03316011,-17.99499652
2593 JEKACHEKA,31.0332829,-17.9954654
2581,31.0332623,-17.995098
2516 PFIRIRAI STREET,31.034234,-17.9948029
2575,31.0335809,-17.99521
2554 ST MARYS,31.0343992,-17.99542492
2544 ST MARYS,31.03390369,-17.99512303
9002 ST MARYS,31.0346689,-17.9943685
9002 ST MARYS,31.034684,-17.9943841
2537 PFIRIRAI STREET,31.0337055,-17.9948194
2562,31.0342385,-17.9958483
2572,31.0335928,-17.9954174
2583,31.0331819,-17.9948363
2551PFIRIRAI,31.0344271,-17.9950604
2526 PFIRIRAI STREET,31.0337983,-17.994515
3098 ST MARYS,31.03482998,-17.99435558
3102 ST MARYS,31.03501664,-17.99447314
3098 CHIGOVANYIKA SHOPS,31.0348691,-17.9943341
9192 CHIGOVANYIKA SHOPS,31.0348248,-17.9942637
3100 CHIGOVANYIKA SHOPS,31.0350014,-17.9943389
2522 PFIRIRAI STREET,31.0339083,-17.99467
2571,31.033722,-17.9954184
2512 PFIRIRAI STREET,31.0344622,-17.9949395
3104 ST MARYS,31.0351498,-17.9945323
2543 ST MARYS,31.03380209,-17.99505994
2500 ST MARYS,31.03526061,-17.99540994
2548 ST MARYS,31.0340969,-17.99524012
2354 JEKACHEKA,31.03650067,-17.99752959
2421 ST MARYS,31.03611331,-17.99650122
2364 ST MARYS,31.03682993,-17.99705677
2413 ST MARYS,31.03574143,-17.99631374
2412 ST MARYS,31.03580979,-17.99618826
2408 ST MARYS,31.03566343,-17.99603618
2389 ST MARYS ,31.03612925,-17.99587302
2377,31.0366835,-17.9963294
,31.03600333,-17.99628545
2379,31.0365923,-17.9962889
2426,31.0364915,-17.99659192
2405,31.0353454,-17.9961069
2464 ST MARYS,31.0350363,-17.99687407
2487 CHIRATIDZO ST MARYS,31.03481141,-17.99586402
2488 CHIRATIDZO ST MARYS,31.03491161,-17.99593039
2380,31.03659161,-17.99601204
2392,31.03604952,-17.99564097
2391,31.0360881,-17.9959189
,31.0350055,-17.99560477
,31.03447779,-17.99664212
,31.03518682,-17.99697572
,31.03557822,-17.9955206
2348 JEKACHEKA,31.03611166,-17.9977223
,31.03583515,-17.99571244
,31.03583566,-17.99676244
2545 ST MARYS,31.03410409,-17.99503327
2549 ST MARYS,31.03428881,-17.99514926
2375 ST MARYS,31.03708536,-17.99629809
2525 ST MARYS,31.03390364,-17.99432627
2561 ST MARYS,31.03432325,-17.99572499
2340 ST MARYS,31.03573414,-17.99745505
2357 ST MARYS,31.03637888,-17.99731569
2381 ST MARYS ,31.03650788,-17.9961291
2383 ST MARYS ,31.03640646,-17.99607585
2586 JEKACHEKA,31.03335132,-17.99513457
2465 ST MARYS,31.03495956,-17.99693549
2371 NYATSIME,31.03692195,-17.99652443
2550 ST MARYS,31.03419318,-17.99530008
2523 ST MARYS,31.03400368,-17.99438288
2546 ST MARYS,31.03400634,-17.995186
2574 ST MARYS,31.03354115,-17.99546873
2462 ST MARYS,31.03511286,-17.99691646
2459 ST MARYS,31.03523736,-17.99712269
2427 ST MARYS,31.03641771,-17.99673097
2341 ST MARYS,31.03579525,-17.99734912
,31.03575908,-17.99563976
2438 ST MARYS,31.0357223,-17.99671151
,31.03647661,-17.99658885
,31.03510103,-17.99644525
,31.03520498,-17.99547014
3100 ST MARYS,31.03492887,-17.99441768
,31.034603,-17.99639369
3101 ST MARYS,31.03497181,-17.99444691
2452 ST MARYS,31.03501686,-17.99628636
3099 CHIEDZA,31.034881,-17.99438943
2365 ST MARYS,31.03664476,-17.99693611
2570 ST MARYS,31.0338264,-17.99564442
2346 ST MARYS,31.03599609,-17.99769742
2486 2486 ST MARYS ,31.03484913,-17.99602792
2455 ST MARYS,31.03546567,-17.99726199
2374 ST MARYS,31.0371968,-17.99643738
2562 JEKACHEKA,31.03420944,-17.99588876
2579 2579 CHITUNGWIZA ST MARYS ROAD,31.033392,-17.9950798
2467 ST MARYS,31.03484221,-17.99687203
2553 ST MARYS,31.03449663,-17.99526985
2466 ST MARYS,31.03492773,-17.99681005
2483 159 CHIRATIDZO ST MARYS DRIVE,31.03470438,-17.99603622
2393 ST MARYS ,31.03595178,-17.99575047
2443 ST MARYS ,31.03547719,-17.99669087
2458 ST MARYS ,31.0352876,-17.99703151
2389,31.0360928,-17.9960235
2582 ST MARYS,31.03315163,-17.9952227
2405 ST MARYS ,31.03538387,-17.99601493
2439 ST MARYS,31.03565489,-17.99679408
2370 ST MARYS,31.0370357,-17.99661881
2400,31.0356878,-17.995311
3089,31.0347134,-17.9944996
2428 ST MARYS,31.03623656,-17.9969947
2490 CHIRATIDZO ST MARYS,31.03498477,-17.99583057
2419 ST MARYS,31.03603281,-17.9964355
2560 ST MARYS,31.03431778,-17.99589157
,31.03513957,-17.99706282
,31.03466219,-17.99675189
2566 JEKACHEKA,31.03401772,-17.99576936
2342 ST MARYS,31.03581378,-17.99751172
2506 ST MARYS,31.03474394,-17.99508486
2476 CHIRATIDZO ST MARYS,31.03447509,-17.99642344
2505 ST MARYS,31.0348601,-17.99491117
2527 ST MARYS,31.03380385,-17.99426622
2463 ST MARYS,31.03503859,-17.99699377
2494 ST MARYS,31.03509068,-17.99564007
2424 ST MARYS,31.0363473,-17.99651617
2508 ST MARYS,31.03465549,-17.99502442
2351 JEKACHEKA,31.03629291,-17.99790633
2406 ST MARYS,31.03553681,-17.99602768
2501 ST MARYS ,31.03524573,-17.99524419
2573 ST MARYS,31.03364891,-17.99530138
2564 JEKACHEKA,31.0341162,-17.99582749
2498 ST MARYS,31.03519976,-17.99559219
2469 ST MARYS,31.03476517,-17.99681455
2448 ST MARYS,31.03526558,-17.996424
2457 ST MARYS,31.03532158,-17.99718416
2489 ST MARYS,31.03490513,-17.99575889
2481 ST MARYS,31.03463303,-17.99614278
2454 ST MARYS,31.03549955,-17.99718896
2534 CHIRATIDZO ST MARYS,31.03341756,-17.99482633
2356 CHIEDZA,31.03656018,-17.99743794
2338 ST MARYS,31.0356813,-17.99742518
2565 ST MARYS,31.03413407,-17.99560089
2558 ST MARYS,31.03460149,-17.99547695
2407 ST MARYS,31.03547751,-17.99608721
,31.03590644,-17.99758523
2504 ST MARYS,31.0348539,-17.99507422
2444 ST MARYS,31.03545616,-17.99654722
2441 ST MARYS,31.03557741,-17.99672911
2430 ST MARYS,31.03610017,-17.99695958
2449 ST MARYS ,31.03520065,-17.99649592
,31.03702387,-17.99648232
2415 ST MARYS,31.03584223,-17.99632379
2429 ST MARYS,31.03611814,-17.99710278
2559 ST MARYS,31.03442901,-17.99579226
,31.03501686,-17.99628636
2529 CHIRATIDZO ST MARYS,31.03368712,-17.99420064
2339 ST MARYS,31.03571454,-17.99731655
2482 ST MARYS,31.03474626,-17.99617194
2431 ST MARYS,31.03603743,-17.99703701
2358 ST MARYS,31.03662789,-17.99734848
,31.03526061,-17.99540994
2456 ST MARYS ,31.03537281,-17.99709812
2391 ST MARYS,31.03604559,-17.99582823
2349 JEKACHEKA,31.0362591,-17.99754226
2547 ST MARYS,31.03419345,-17.99508846
2577,31.033569,-17.99504
2518 PFIRIRAI STREET,31.0341044,-17.9947233
2581,31.0332688,-17.9950903
2435 MAMINIMINI,31.0358121,-17.9968985
2505 CHINJONGA,31.0348674,-17.9948196
2381,31.0366087,-17.9962085
2390,31.036142,-17.9956816
2443 GONJE,31.0354592,-17.9966989
2393,31.0358921,-17.9957729
2383,31.0363873,-17.996088
2583,31.0331853,-17.9948182
2531 PFIRIRAI STREET,31.0334961,-17.9945788
2387,31.0362442,-17.9960901
2446 GONJE,31.0354757,-17.9963576
2451 GONJE,31.0349631,-17.9964769
2535 PFIRIRAI STREET,31.0337017,-17.9946417
2452 GONJE,31.0351422,-17.9962142
2382,31.0365179,-17.99593081
2378,31.03668589,-17.99607212
2524 PFIRIRAI STREET,31.033875,-17.9944917
2420,31.0362315,-17.9963241
2416,31.0361431,-17.9961329
2362 NYATSIME,31.03675141,-17.9971542
2415,31.0359518,-17.9964691
2668 MHONGO STREET,31.0367217,-17.997162
2447 GONJE,31.0352027,-17.9966347
,31.03454365,-17.99669241
,31.0353543,-17.99648315
,31.03630758,-17.99600233
,31.03617574,-17.99641391
103 ST MARYS,31.03982985,-17.99860555
1883 ST MARYS,31.03913096,-17.99693395
2115 ST MARYS,31.03875118,-17.99814113
2160 ST MARYS,31.03890842,-17.99922015
8352 ST MARYS,31.04045554,-17.9983154
8341 ST MARYS,31.04040534,-17.99814835
125 ST MARYS,31.04053664,-17.99763981
8384 ST MARYS,31.04013518,-17.99791284
1873 ST MARYS,31.0392006,-17.9974173
1882 ST MARYS,31.03919217,-17.99712347
,31.03873912,-17.99662959
1866 ST MARYS,31.03960815,-17.9975055
8349 ST MARYS,31.04023771,-17.99864498
6671 ST MARYS,31.03883247,-17.99706941
6668 ST MARYS,31.03852679,-17.99714036
11181,31.04100366,-17.99943912
2078,31.0369238,-17.9976453
2061 ST MARYS,31.0378281,-17.9974893
8299 ST MARYS,31.03936101,-17.99839498
8306 ST MARYS,31.03956502,-17.99899851
1881 ST MARYS,31.03924119,-17.99689637
2057 ST MARYS,31.03836442,-17.99737838
8308 ST MARYS,31.03969053,-17.99929746
8323 ST MARYS,31.03945059,-17.99905006
2140 ST MARYS,31.03784632,-17.99916191
2107 ST MARYS,31.03799417,-17.99799365
8342 ST MARYS,31.04055815,-17.99811588
2095 BARINGA,31.03737508,-17.9982063
2128 ST MARYS,31.03810215,-17.99855257
2125 ST MARYS,31.0381689,-17.99832015
2158 ST MARYS,31.03887622,-17.99910962
8353 8353 CHITUNGWIZA ST MARYS ROAD,31.0402645,-17.9981821
8380 ST MARYS,31.03968984,-17.99782245
8300 ST MARYS,31.03939685,-17.99848949
8377 ST MARYS,31.03959447,-17.99802937
8367 ST MARYS,31.03987642,-17.99890188
11128,31.04124968,-17.99933911
11180,31.041113,-17.9993398
9304,31.0402204,-17.9993936
9308,31.0398429,-17.9996288
2057 ST MARYS ,31.0383755,-17.9974352
