suburb,density,property,price,rooms,bedroom,toilets,ensuite,condition,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
134,1,2,140,2,0,1,0,4,24,2,0,0,0,0,1,0,1,0,0,0
171,1,0,140,3,0,1,0,2,25,0,0,0,0,0,1,0,1,1,0,0
173,1,0,140,2,0,1,0,4,29,0,0,0,0,0,1,0,1,0,0,0
43,0,0,70,2,0,1,0,2,18,2,0,0,0,0,0,0,0,0,0,0
83,1,0,130,2,0,1,1,3,20,2,0,0,0,2,1,0,1,1,0,0
110,1,0,130,2,0,1,0,3,24,2,0,0,0,0,1,0,1,1,0,0
77,1,0,130,3,0,1,0,2,26,2,0,0,1,0,1,0,1,0,0,0
54,0,0,130,4,0,1,0,2,13,2,0,0,0,0,0,0,1,0,0,0
100,1,0,130,3,1,1,0,2,25,0,0,0,0,0,1,0,1,0,0,0
93,1,0,130,3,0,1,0,2,21,2,0,0,1,0,1,0,1,0,0,0
26,1,0,130,2,0,1,0,3,1,2,0,0,1,0,1,0,1,0,0,0
150,1,1,130,2,0,1,0,3,2,0,0,0,0,0,1,0,1,0,0,0
79,1,1,125,2,0,1,0,3,11,2,0,0,0,0,1,0,1,0,0,0
18,1,0,120,2,0,1,0,3,12,2,0,0,0,0,1,0,1,0,0,0
120,1,0,120,2,0,1,0,3,20,2,0,0,0,0,1,0,1,0,0,0
141,0,0,70,2,0,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0
4,1,0,120,2,0,1,0,3,22,2,0,0,1,0,1,0,1,0,0,0
156,1,0,120,2,0,1,0,3,3,0,0,0,0,0,1,0,1,0,0,0
155,1,0,120,2,0,1,0,3,3,0,0,0,0,0,1,0,1,0,0,0
174,1,0,120,2,0,1,0,3,28,0,0,0,0,0,1,0,1,1,0,0
29,1,0,120,3,0,1,0,2,1,2,0,0,1,0,1,0,1,0,0,0
169,1,3,120,2,0,1,0,3,11,2,0,0,0,0,1,0,1,0,0,0
45,1,1,120,2,0,1,0,3,27,2,0,0,1,0,1,0,1,0,0,0
63,1,0,120,3,0,1,0,2,0,2,0,0,1,0,1,0,1,0,0,0
86,1,0,120,3,0,1,0,2,20,2,0,0,1,0,1,0,1,0,0,0
1,2,3,1800,8,4,3,1,4,23,2,2,1,1,2,1,0,1,1,0,1
57,1,0,120,3,0,1,0,2,5,2,0,0,1,0,1,0,1,0,0,0
73,2,3,1800,8,4,3,1,4,23,2,2,1,1,1,1,0,1,1,0,1
65,2,2,1800,8,5,3,1,4,12,2,0,0,1,0,1,0,0,1,0,1
101,2,3,1800,8,4,3,2,4,14,2,1,0,1,0,1,0,1,1,0,1
31,3,3,650,5,3,1,0,4,16,2,0,0,0,0,1,0,1,1,0,1
62,3,3,550,5,2,1,0,4,14,2,0,0,0,0,1,0,1,1,0,1
121,3,3,600,5,3,2,1,4,16,2,0,0,1,0,1,1,1,1,0,1
64,2,3,1350,6,3,2,1,4,26,2,0,0,1,2,1,1,1,1,0,1
11,2,0,450,2,0,1,1,4,23,2,2,0,1,0,1,1,1,1,1,0
114,2,0,450,2,1,1,0,4,14,2,2,0,1,0,1,0,1,1,1,1
97,2,1,450,2,0,1,1,4,14,2,0,0,1,0,1,1,1,1,0,1
21,2,3,1100,5,2,2,0,4,12,2,0,0,0,2,1,0,1,1,0,0
21,2,2,1300,6,3,4,3,4,12,2,2,0,0,0,1,1,1,1,0,0
64,2,2,1300,6,3,2,1,4,26,2,0,0,1,1,1,1,1,1,0,0
52,2,3,1300,6,3,2,1,4,14,2,0,1,0,2,1,0,1,1,0,1
91,2,3,1300,6,3,2,1,4,23,2,2,1,1,0,1,0,1,1,0,1
109,2,0,430,2,1,1,0,4,16,2,0,0,1,0,1,1,1,1,0,1
103,2,3,1500,7,5,3,1,4,14,2,0,0,1,2,1,1,1,1,0,1
74,2,3,1500,7,5,2,1,4,26,2,2,1,1,0,1,1,1,1,0,1
108,2,3,1500,7,2,2,1,4,23,2,2,1,1,0,1,0,1,1,0,1
66,2,1,450,4,2,2,1,3,23,2,0,0,1,0,1,0,1,1,0,1
67,2,1,450,4,1,2,1,3,23,2,0,0,0,0,1,0,1,0,0,0
